xx
Runan,City Fighter,Base,Adept,7,Rising Dragon,15,Awareness,35,Adept,Promo,Charisma,Promo
Kreiss,Gale,19,Geomany,25,Awareness,37,,,,,,
Arkis,Lethality,16,Adept,25,Canto,38,,,,,,
Garo,Adept,Base,Sea Fighter,Base,Wrath,28,Charge,29,Awareness,30,Lethality,31
Kate,Adept,Base,City Fighter,Base,Earth Saint,18,Canto,27,,,,
Sasha,Charisma,Base,Gale,8|Princess,Paragon,10|Princess,Adept,15,Canto,Promo,,
Lee,,,,,,,,,,,,
Ezekiel,Lethality,Base,City Fighter,Base,Mountain Fighter,12,Plains Fighter,18,Frontier Fighter,24,,
Narron,Paragon,Base,Lethality,12|GoldKnight,Canto,16,Adept,Promo,Pavise,Promo,,
Ruka,Charge,15,Adept,30,City Fighter,Promo,,,,,,
Raffin,Canto,Base,Gale,17,Adept,24,,,,,,
Estelle,City Fighter,Base,Wrath,14,Paragon,20,Gale,28,,,,
Julia,Adept,8,Rising Dragon,18,Anti-Evil,25,Dragon Saint,eventC30,,,,
Barts,Mountain Fighter,Base,Charge,15,,,,,,,,
Enteh,Summon,30,,,,,,,,,,
Plum,Dance,eventC14,,,,,,,,,,
Raquel,Adept,Base,Paragon,Base,Forest Fighter,Base,City Fighter,Base,Anti-Evil,16,Awareness,31
Mahter,Gale,Base,Canto,Base,Earth Saint,15,Adept,25,,,,
Vega,Heaven Saint,Base,Rising Dragon,15,Gale,35,,,,,,
Maruju,Adept,19|Mage,Heaven Saint,20|Sage,Charge,39,,,,,,
Zeek,Adept,Base,Wrath,Base,Paragon,Base,Awareness,Base,Frontier Fighter,Base,Canto,14
Mel,Canto,14,,,,,,,,,,
Norton,Wrath,Base,City Fighter,Base,Pavise,12|IronKnight,Pavise,25,,,,
Thomas,Adept,30,,,,,,,,,,
Roger,Pavise,Base,Gale,Base,City Fighter,Base,Wrath,18,,,,
Katri,Summon,Base,,,,,,,,,,
Xeno,Sea Fighter,Base,Lethality,13|Fighter,Anti-Evil,20,Rising Dragon,30,,,,
Yuni,Steal,Base,Picklock,Base,Frontier Fighter,12,Adept,28,Charisma,35,,
Meriah,Wrath,15|Mage,Geomancy,15|Sage,Heaven Saint,30,,,,,,
Sharon,City Fighter,Base,Charge,15,Canto,32,,,,,,
Billford,Wrath,Base,Pavise,Base,Awareness,26,Adept,31,Charge,38,,
Holmes,Picklock,Base,Sea Fighter,Base,Rising Dragon,16,Adept,32,Charisma,Promo,,
Shigen,Adept,Base,Sea Fighter,Base,Arena Fighter,21,Rising Dragon,28,Gale,38,,
Alicia,Charge,16,Adept,32,,,,,,,,
Samson,Frontier Fighter,Base,Gale,14,Awareness,20|AxeFighter,Adept,29,,,,
Lionel,Wrath,Base,City Fighter,Base,Awareness,17,Arena Fighter,21,,,,
Attrom,Heaven Saint,15|Fighter,Lethality,26,,,,,,,,
Krisheenu,Steal,Base,Rising Dragon,17,,,,,,,,
Maerhen,Steal,Base,Picklock,Base,Mug,Base,,,,,,
Frau,Canto,Base,Adept,12,Anti-Evil,25,,,,,,
Sun,Canto,Base,Paragon,5,Geomancy,25,Awareness,40,Charge,Promo,,
Lyria,Song,Base,,,,,,,,,,
Mintz,Wrath,Base,Charge,Base,,,,,,,,
Rennie,Charge,Base,Paragon,9,Geomancy,19,Adept,34,City Fighter,Promo,,
Shirou,Plains Fighter,Base,Canto,14,Adept,28,,,,,,
Loffaru,Wrath,Base,Pavise,Base,City Fighter,Base,Charge,32,Anti-Evil,37,,
Lionheart,Adept,Base,Heaven Saint,Base,Canto,Base,Plains Fighter,Base,Anti-Evil,22,,
Zachariah,Pavise,Base,City Fighter,Base,,,,,,,,
Bud,Steal,Base,Picklock,Base,Forest Fighter,Base,Paragon,10,Dragon Saint,40,,
Rishel,Gale,Base,Earth Saint,Base,Anti-Evil,15,Adept,32,,,,
Sierra,Warp,Base,,,,,,,,,,
Rebecca,Summon,Base,Paragon,16,Charisma,38,,,,,,
Leteena,Paragon,Base,Summon,8,,,,,,,,
Narcus,Picklock,Base,Transform,Base,Awareness,17,Gale,25,Adept,31,,
Rina,Paragon,Base,Canto,9,Gale,18,Adept,23,,,,
Renee,Summon,Base,Frontier Fighter,Base,,,,,,,,
Yoda,Lethality,Base,Rising Dragon,Base,Dragon Saint,Base,Frontier Fighter,Base,Anti-Evil,Base,,
Hagaru,Adept,Base,Paragon,Base,Pavise,18,,,,,,
Verna,Canto,Base,Anti-Evil,Base,,,,,,,,
Alfred,Warp,Base,,,,,,,,,,
Sennet,Wrath,Base,Earth Saint,Base,Charisma,Base,,,,,,
Tia,Heaven Saint,Base,Rising Dragon,Base,,,,,,,,
